Problem Size	VAST	Standard Deviation	Lower 95% CI of Mean	Upper 95% CI of Mean	OpenCL	Standard Deviation	Lower 95% CI of Mean	Upper 95% CI of Mean		
N	us				us					
		Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]		Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]	Statistics On Rows of [vast-transposed.txt]vast-transposed!Col(B)[1]:Col(K)[82]		
16000000	1389295.2	34312.4284408887	1364749.5735898	1413840.8264102	665051.8	58451.9198502306	623237.826090392	706865.773909608	--	--
16250000	1434243.9	28783.7072218527	1413653.28149029	1454834.51850971	662578.4	47193.4425346008	628818.253542833	696338.546457167	--	--
16500000	1477731.8	28280.6923214015	1457501.01658172	1497962.58341828	628673.9	54825.3732468422	589454.200588896	667893.599411104	--	--
16750000	1523823.6	49697.8763355807	1488271.88998289	1559375.31001711	629174.9	42978.4572972967	598429.971574911	659919.828425089	--	--
17000000	1535925.1	42424.5902683023	1505576.38407844	1566273.81592156	680455.7	24427.6224797075	662981.236001942	697930.163998058	--	--
17250000	1632784.9	74464.0924897512	1579516.51072302	1686053.28927698	703082.5	45732.0866527115	670367.74429945	735797.25570055	--	--
17500000	1641557.6	33762.4972917848	1617405.37053518	1665709.82946482	593467.3	43025.8641234161	562688.458783072	624246.141216928	--	--
17750000	1675016	26000.9527432276	1656416.04361848	1693615.95638152	624651.2	87871.8443160897	561791.485297102	687510.914702898	--	--
18000000	1682839.8	32173.0081686842	1659824.6222675	1705854.9777325	760735.9	87911.9245677804	697847.513619546	823624.286380454	--	--
18250000	1731548.5	81659.5805337282	1673132.76996657	1789964.23003343	698383.2	78657.1323089436	642115.291493351	754651.108506649	--	--
18500000	1745315.5	12837.351710709	1736132.21413231	1754498.78586769	694223.6	50910.5217638424	657804.415921661	730642.784078339	--	--
18750000	1746065.5	25802.450268014	1727607.5436989	1764523.4563011	771042.3	70647.0398153934	720504.465020397	821580.134979603	--	--
19000000	1828592.9	56036.3951264414	1788506.88794412	1868678.91205588	776305.4	61524.2163310965	732293.638143945	820317.161856055	--	--
19250000	1809631.6	42248.4474302508	1779408.88904206	1839854.31095794	728397.8	63563.927215573	682926.917247229	773868.682752771	--	--
19500000	1791836.5	39891.5773322584	1763299.79191482	1820373.20808518	740656.5	76506.0858701232	685927.357027514	795385.642972486	--	--
19750000	1819259.8	28155.8935129239	1799118.29224854	1839401.30775146	799853.4	47486.2311393758	765883.805245626	833822.994754374	--	--
20000000	1847662.9	116536.831135006	1764297.49422594	1931028.30577406	766563	59423.741362822	724053.827036598	809072.172963402	--	--
